wrapper  | --> Wrapper Started as Daemon
jvm 1    | 2020-07-25 18:21:50,096+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.source.FileConfigurationSource - Nexus configuration validated successfully.
jvm 1    | 2020-07-25 18:21:50,098+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.ModelUtils - Loading model /opt/sonatype-work/nexus/conf/procurement.xml
jvm 1    | 2020-07-25 18:21:50,098+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.ModelUtils - Saving model /opt/sonatype-work/nexus/conf/procurement.xml
jvm 1    | 2020-07-25 18:21:50,175+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration...
jvm 1    | 2020-07-25 18:21:50,182+0000 INFO  [jetty-main-1]  org.sonatype.security.configuration.source.FileSecurityConfigurationSource - Loading Security configuration from /opt/nexus/../sonatype-work/nexus/conf/security-configuration.xml
jvm 1    | 2020-07-25 18:21:50,195+0000 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Cache with name 'XmlAuthenticatingRealm.authorizationCache' does not yet exist.  Creating now.
jvm 1    | 2020-07-25 18:21:50,196+0000 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Added EhCache named [XmlAuthenticatingRealm.authorizationCache]
jvm 1    | 2020-07-25 18:21:50,197+0000 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Cache with name 'XmlAuthorizingRealm.authorizationCache' does not yet exist.  Creating now.
jvm 1    | 2020-07-25 18:21:50,197+0000 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Added EhCache named [XmlAuthorizingRealm.authorizationCache]
jvm 1    | 2020-07-25 18:21:50,230+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.attributes.DefaultLSAttributeStorage - Default FS AttributeStorage in place, using JacksonJSON marshaller. 
jvm 1    | 2020-07-25 18:21:50,798+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Central" [id=central][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenProxyRepository]
jvm 1    | 2020-07-25 18:21:50,847+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Apache Snapshots" [id=apache-snapshots][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenProxyRepository]
jvm 1    | 2020-07-25 18:21:50,918+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Releases" [id=releases][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2020-07-25 18:21:50,975+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Snapshots" [id=snapshots][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2020-07-25 18:21:51,003+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "3rd party" [id=thirdparty][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2020-07-25 18:21:51,022+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Central M1 shadow" [id=central-m1][contentClass=Maven1][mainFacet=org.sonatype.nexus.proxy.maven.MavenShadowRepository]
jvm 1    | 2020-07-25 18:21:51,278+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Public Repositories" [id=public][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.repository.GroupRepository]
jvm 1    | 2020-07-25 18:21:51,278+0000 INFO  [jetty-main-1]  org.sonatype.scheduling.DefaultScheduler - Initializing Scheduler...
jvm 1    | 2020-07-25 18:21:51,278+0000 INFO  [jetty-main-1]  org.sonatype.nexus.scheduling.internal.DefaultTaskConfigManager - 0 task(s) to load.
jvm 1    | 2020-07-25 18:21:51,279+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - This is 1st start of new Nexus instance.
jvm 1    | 2020-07-25 18:21:51,279+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Nexus Work Directory : /opt/sonatype-work/nexus
jvm 1    | 2020-07-25 18:21:51,279+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Started Nexus Repository Manager PRO-UNLICENSED 2.14.18-01
jvm 1    | 2020-07-25 18:21:51,592+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration.
jvm 1    | 2020-07-25 18:21:51,594+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 1
jvm 1    | 2020-07-25 18:21:51,606+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 1
jvm 1    | 2020-07-25 18:21:51,607+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 2
jvm 1    | 2020-07-25 18:21:51,608+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 2
jvm 1    | 2020-07-25 18:21:51,608+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 3
jvm 1    | 2020-07-25 18:21:51,609+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 3
jvm 1    | 2020-07-25 18:21:51,609+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 4
jvm 1    | 2020-07-25 18:21:51,612+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 4
jvm 1    | 2020-07-25 18:21:51,612+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 5
jvm 1    | 2020-07-25 18:21:51,613+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 5
jvm 1    | 2020-07-25 18:21:51,614+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 6
jvm 1    | 2020-07-25 18:21:51,616+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 6
jvm 1    | 2020-07-25 18:21:51,616+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 7
jvm 1    | 2020-07-25 18:21:51,640+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 7
jvm 1    | 2020-07-25 18:21:51,641+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 8
jvm 1    | 2020-07-25 18:21:51,642+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 8
jvm 1    | 2020-07-25 18:21:51,642+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 9
jvm 1    | 2020-07-25 18:21:51,643+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 9
jvm 1    | 2020-07-25 18:21:51,643+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration.
jvm 1    | 2020-07-25 18:21:51,645+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for p2 content class
jvm 1    | 2020-07-25 18:21:51,645+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for site content class
jvm 1    | 2020-07-25 18:21:51,645+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for npm content class
jvm 1    | 2020-07-25 18:21:51,645+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for nuget content class
jvm 1    | 2020-07-25 18:21:51,646+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for rubygems content class
jvm 1    | 2020-07-25 18:21:51,646+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for obr content class
jvm 1    | 2020-07-25 18:21:51,647+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration due to changes in [Repository Target Registry]...
jvm 1    | 2020-07-25 18:21:51,847+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.tasks.UpdateIndexTask - Scheduled task (UpdateIndexTask) started :: Updating repository index "Public Repositories" from path null and below.
jvm 1    | 2020-07-25 18:21:51,903+0000 INFO  [jetty-main-1]  org.sonatype.nexus.webapp.WebappBootstrap - Initialized
jvm 1    | 2020-07-25 18:21:51,907+0000 INFO  [ar-7-thread-2] *TASK org.sonatype.nexus.proxy.maven.routing.internal.ManagerImpl - Updated and published prefix file of "Snapshots" [id=snapshots]
jvm 1    | 2020-07-25 18:21:51,936+0000 INFO  [ar-7-thread-1] *TASK org.sonatype.nexus.proxy.maven.routing.internal.ManagerImpl - Updated and published prefix file of "3rd party" [id=thirdparty]
jvm 1    | 2020-07-25 18:21:52,003+0000 INFO  [ar-7-thread-4] *TASK org.sonatype.nexus.proxy.maven.routing.internal.ManagerImpl - Updated and published prefix file of "Releases" [id=releases]
jvm 1    | 2020-07-25 18:21:52,352+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.NexusScanningListener - Scanning of repositoryID="releases" started.
jvm 1    | 2020-07-25 18:21:52,464+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule - Resources:
jvm 1    | 2020-07-25 18:21:52,464+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/analytics/events
jvm 1    | 2020-07-25 18:21:52,464+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/analytics/settings
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/atlas/security-diagnostic
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/atlas/support-zip
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/atlas/system-information
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/capabilities
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/capabilities/stores
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/capabilities/types
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/clm
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/clm/applications
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/clm/firewall
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/compat/usertoken
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/crowd/config
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/clm
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/gaDetails
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/gavDetails
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/gavDetailsPro
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckDetail/{repositoryId}/{path:.*}
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckEula
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckFileDetail
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckInfo
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckStatus
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckSummary/{repositoryId}/{path:.*}
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/logging/log
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/logging/loggers
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/migrationagent/configuration
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/migrationagent/repository
jvm 1    | 2020-07-25 18:21:52,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/migrationagent/repository-changelog
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/migrationagent/repository-content
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/migrationagent/repository-migration
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/migrationagent/status
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/ssl/certificates
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/ssl/truststore
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/ssl/truststore/key
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/usertoken/authenticate
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/usertoken/current
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/usertoken/settings
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/usertoken/status
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/usertoken/users
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/usertoken/users/{userName}
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/wonderland/authenticate
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/wonderland/download
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/wonderland/settings
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule - Components:
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.capabilities.internal.rest.CapabilityNotFoundExceptionMapper
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.AuthorizationExceptionMapper
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.ErrorStatusRuntimeExceptionMapper
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.InvalidConfigurationExceptionMapper
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.NoSuchRepositoryExceptionMapper
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.jackson.JacksonProvider
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.BadRequestExceptionMapper
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ConstraintViolationExceptionMapper
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.InvalidObjectExceptionMapper
jvm 1    | 2020-07-25 18:21:52,466+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ObjectNotFoundExceptionMapper
jvm 1    | 2020-07-25 18:21:52,467+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ThrowableExceptionMapper
jvm 1    | 2020-07-25 18:21:52,467+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ValidationErrorsExceptionMapper
jvm 1    | 2020-07-25 18:21:52,467+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.WebApplicationExceptionMapper
jvm 1    | 2020-07-25 18:21:52,467+0000 INFO  [jetty-main-1]  org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.WebApplicationMessageExceptionMapper
jvm 1    | 2020-07-25 18:21:52,657+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.NexusScanningListener - Scanning of repositoryID="releases" finished: scanned=0, added=0, updated=0, removed=0, scanningDuration=0:00:00.297
jvm 1    | 2020-07-25 18:21:52,753+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.DefaultIndexerManager - Publishing index for repository releases
jvm 1    | [INFO] Unable to read properties file, will force index regeneration
jvm 1    | 2020-07-25 18:21:53,142+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.NexusScanningListener - Scanning of repositoryID="snapshots" started.
jvm 1    | 2020-07-25 18:21:53,283+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.NexusScanningListener - Scanning of repositoryID="snapshots" finished: scanned=0, added=0, updated=0, removed=0, scanningDuration=0:00:00.141
jvm 1    | 2020-07-25 18:21:53,297+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.DefaultIndexerManager - Publishing index for repository snapshots
jvm 1    | [INFO] Unable to read properties file, will force index regeneration
jvm 1    | 2020-07-25 18:21:53,453+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.NexusScanningListener - Scanning of repositoryID="thirdparty" started.
jvm 1    | 2020-07-25 18:21:53,534+0000 INFO  [jetty-main-1]  org.sonatype.nexus.rest.NexusApplication_UriMatching - Strict URI matching: true
jvm 1    | 2020-07-25 18:21:53,581+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.NexusScanningListener - Scanning of repositoryID="thirdparty" finished: scanned=0, added=0, updated=0, removed=0, scanningDuration=0:00:00.128
jvm 1    | 2020-07-25 18:21:53,603+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.DefaultIndexerManager - Publishing index for repository thirdparty
jvm 1    | [INFO] Unable to read properties file, will force index regeneration
jvm 1    | 2020-07-25 18:21:53,665+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.NexusScanningListener - Scanning of repositoryID="central" started.
jvm 1    | 2020-07-25 18:21:53,851+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.NexusScanningListener - Scanning of repositoryID="central" finished: scanned=0, added=0, updated=0, removed=0, scanningDuration=0:00:00.186
jvm 1    | 2020-07-25 18:21:53,870+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.ModelUtils - Loading model /opt/sonatype-work/nexus/conf/lvo-plugin.xml
jvm 1    | 2020-07-25 18:21:53,910+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.DefaultIndexerManager - Publishing index for repository central
jvm 1    | [INFO] Unable to read properties file, will force index regeneration
jvm 1    | 2020-07-25 18:21:54,039+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.DefaultIndexerManager - Publishing index for repository public
jvm 1    | [INFO] Unable to read properties file, will force index regeneration
jvm 1    | 2020-07-25 18:21:54,160+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.tasks.UpdateIndexTask - Scheduled task (UpdateIndexTask) finished :: Updating repository index "Public Repositories" from path null and below. (started 2020-07-25T18:21:51+00:00, runtime 0:00:02.223)
jvm 1    | 2020-07-25 18:21:54,378+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration due to changes in [Scheduled Tasks] made by *TASK...
jvm 1    | 2020-07-25 18:21:54,419+0000 INFO  [ar-7-thread-5] *TASK org.sonatype.nexus.proxy.storage.remote.httpclient.HttpClientRemoteStorage - Initializing remote transport for proxy repository "Apache Snapshots" [id=apache-snapshots]...
jvm 1    | 2020-07-25 18:21:54,429+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.ModelUtils - Saving model /opt/sonatype-work/nexus/conf/staging.xml
jvm 1    | 2020-07-25 18:21:54,545+0000 INFO  [ar-7-thread-3] *TASK org.sonatype.nexus.proxy.storage.remote.httpclient.HttpClientRemoteStorage - Initializing remote transport for proxy repository "Central" [id=central]...
jvm 1    | 2020-07-25 18:21:54,732+0000 INFO  [jetty-main-1]  com.sonatype.nexus.pgp.DefaultPGPKeyManager - Creating PGP Key Collection for the first time.
jvm 1    | 2020-07-25 18:21:55,518+0000 INFO  [ar-7-thread-3] *TASK org.sonatype.nexus.proxy.maven.routing.internal.ManagerImpl - Updated and published prefix file of "Public Repositories" [id=public]
jvm 1    | 2020-07-25 18:21:57,261+0000 INFO  [jetty-main-1]  org.sonatype.nexus.webresources.internal.WebResourceServiceImpl - Discovered 3014 resources
jvm 1    | 2020-07-25 18:21:57,262+0000 INFO  [jetty-main-1]  org.sonatype.nexus.webresources.internal.WebResourceServlet - Max-age: 30 days (2592000 seconds)
jvm 1    | 2020-07-25 18:21:57,357+0000 INFO  [jetty-main-1]  org.sonatype.nexus.bootstrap.jetty.InstrumentedSelectChannelConnector - Metrics enabled
jvm 1    | 2020-07-25 18:21:57,391+0000 INFO  [jetty-main-1]  org.eclipse.jetty.server.AbstractConnector - Started InstrumentedSelectChannelConnector@0.0.0.0:8081
jvm 1    | 2020-07-25 18:21:57,391+0000 INFO  [jetty-main-1]  org.sonatype.nexus.bootstrap.jetty.JettyServer - Running
jvm 1    | 2020-07-25 18:21:57,391+0000 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.jetty.JettyServer - Started
jvm 1    | 2020-07-25 18:22:16,480+0000 INFO  [qtp1294366016-84]  org.apache.shiro.nexus5727.FixedDefaultWebSessionManager - Global session timeout: 1800000 ms
jvm 1    | 2020-07-25 18:22:16,481+0000 INFO  [qtp1294366016-84]  org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Enabling session validation scheduler...
jvm 1    | 2020-07-25 18:22:16,499+0000 INFO  [qtp1294366016-84] *UNKNOWN org.sonatype.nexus.velocity.VelocityEngineProvider - Creating Nexus VelocityEngine
jvm 1    | 2020-07-25 18:22:19,475+0000 WARN  [qtp1294366016-89]  com.sonatype.nexus.licensing.ProfessionalApplicationStatusSource - No license installed
jvm 1    | 2020-07-25 18:22:58,295+0000 WARN  [qtp1294366016-87]  com.sonatype.nexus.licensing.ProfessionalApplicationStatusSource - No license installed
jvm 1    | 2020-07-25 18:23:00,889+0000 INFO  [qtp1294366016-84] *UNKNOWN /nexus - nexus: [Noelios Restlet Engine] - Attaching application: org.sonatype.nexus.rest.NexusApplication@5b18f979 to URI: /nexus/service/local
jvm 1    | 2020-07-25 18:23:01,107+0000 INFO  [qtp1294366016-84] *UNKNOWN com.sonatype.nexus.licensing.NexusLicenseChangeListener - License changed; valid: true
