wrapper  | --> Wrapper Started as Daemon
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-webresources-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-ruby-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-m2-settings-template-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-procurement-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-restlet1x-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-analytics-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-ssl-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-siesta-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-yum-repository-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexuspro-support-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-branding-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-atlas-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-obr-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexuspro-yum-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-archive-browser-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-groovy-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-outreach-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-licensing-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-content-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-orient-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-ldap-plugin:2.14.18-01" was successful.
jvm 1    | 2020-07-25 18:21:44,465+0000 INFO  [jetty-main-1]  org.sonatype.nexus.events.EventSubscriberHost - Starting
jvm 1    | 2020-07-25 18:21:46,968+0000 INFO  [jetty-main-1]  org.sonatype.nexus.timeline.DefaultNexusTimeline - Initializing Nexus Timeline...
jvm 1    | 2020-07-25 18:21:46,969+0000 INFO  [jetty-main-1]  org.sonatype.nexus.timeline.DefaultNexusTimeline - Starting Nexus Timeline...
jvm 1    | 2020-07-25 18:21:47,158+0000 INFO  [jetty-main-1]  org.sonatype.timeline.internal.DefaultTimeline - Started Timeline...
jvm 1    | 2020-07-25 18:21:48,403+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.smartproxy.internal.security.IdentityCapability - Generating identity certificate
jvm 1    | 2020-07-25 18:21:49,281+0000 WARN  [PeriodicLicenseValidatorImpl-timer]  com.sonatype.nexus.licensing.ProfessionalApplicationStatusSource - No license installed
jvm 1    | 2020-07-25 18:21:49,572+0000 INFO  [jetty-main-1]  org.sonatype.nexus.orient.DatabaseServerImpl - OrientDB version: 2.1.14
jvm 1    | 2020-07-25 18:21:49,626+0000 INFO  [jetty-main-1]  com.orientechnologies.orient.server.OServer - OrientDB Server v2.1.14 is starting up...
jvm 1    | 2020-07-25 18:21:49,660+0000 INFO  [jetty-main-1]  com.orientechnologies.orient.server.OServer - Databases directory: /opt/sonatype-work/nexus/db
jvm 1    | 2020-07-25 18:21:49,683+0000 INFO  [jetty-main-1]  com.orientechnologies.orient.server.handler.OJMXPlugin - JMX plugin installed and active: profilerManaged=true
jvm 1    | 2020-07-25 18:21:49,686+0000 INFO  [jetty-main-1]  com.orientechnologies.orient.server.OServer - OrientDB Server v2.1.14 is active.
jvm 1    | 2020-07-25 18:21:49,686+0000 INFO  [jetty-main-1]  org.sonatype.nexus.orient.DatabaseServerImpl - Activated
jvm 1    | 2020-07-25 18:21:49,686+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Loading Nexus Configuration...
jvm 1    | 2020-07-25 18:21:49,741+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.source.StaticConfigurationSource - Configuration loaded successfully.
jvm 1    | 2020-07-25 18:21:49,742+0000 WARN  [jetty-main-1]  org.sonatype.nexus.configuration.source.FileConfigurationSource - No configuration file in place, copying the default one and continuing with it.
jvm 1    | 2020-07-25 18:21:50,011+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.source.FileConfigurationSource - Configuration loaded successfully.
